,income,energy_consumptions,energy_ratios,npv,payback_periods,ov_multiplier,portion_of_income_spent_on_electricity,npv_energy_consumptions,npv_actual,installation_cost,solar_installation_right_sized,installation_cost_right_sized,npv_actual_right_sized,payback_period,multiplier,multiplier_right_sized,ov_multiplier_right_sized,ov_multiplier_check
904,9835763.777052112,[11022.54945298],[0.7199488],[12584.79442263],8.587259309843764e-10,[0.83342854],[0.00012148],[17480.12425797],[-2515.23370237],15100.028125,[9219.23202322],[20973.75285283],[-3493.62859486],[1.19986292],[0.83342854],[0.83342854],[0.83342854],[1.15762197]
943,9813864.558049781,[10693.5953136],[0.74209571],[12584.79442263],8.606421411699125e-10,[0.83342854],[0.00011812],[16958.45191201],[-2515.23370237],15100.028125,[8944.09562679],[20347.81755095],[-3389.36563894],[1.19986292],[0.83342854],[0.83342854],[0.83342854],[1.12307419]
982,9730841.485038493,[10517.93679856],[0.75448934],[12584.79442263],8.679850986554295e-10,[0.83342854],[0.00011717],[16679.88362951],[-2515.23370237],15100.028125,[8797.17529643],[20013.57379939],[-3333.69016987],[1.19986292],[0.83342854],[0.83342854],[0.83342854],[1.104626]
960,9589442.650577225,[11117.65800457],[0.71378983],[12584.79442263],8.807837654551353e-10,[0.83342854],[0.00012568],[17630.9522771],[-2515.23370237],15100.028125,[9298.78057124],[21154.72579958],[-3523.77352248],[1.19986292],[0.83342854],[0.83342854],[0.83342854],[1.16761056]
947,9580339.636290971,[11129.89692528],[0.71300492],[12584.79442263],8.816206655551764e-10,[0.83342854],[0.00012593],[17650.36138529],[-2515.23370237],15100.028125,[9309.01717306],[21178.01406871],[-3527.65268342],[1.19986292],[0.83342854],[0.83342854],[0.83342854],[1.16889593]
973,9518446.134848312,[10630.41189225],[0.74650647],[12584.79442263],8.873533859133494e-10,[0.83342854],[0.00012106],[16858.25240183],[-2515.23370237],15100.028125,[8891.24917562],[20227.59187455],[-3369.33947272],[1.19986292],[0.83342854],[0.83342854],[0.83342854],[1.11643848]
987,9495416.1366157,[10356.05189817],[0.76628345],[12584.79442263],8.895055556145257e-10,[0.83342854],[0.00011823],[16423.15825157],[-2515.23370237],15100.028125,[8661.77518196],[19705.53853896],[-3282.38028739],[1.19986292],[0.83342854],[0.83342854],[0.83342854],[1.08762435]
908,9409472.79946988,[10351.51551993],[0.76661926],[12584.79442263],8.97630035857836e-10,[0.83342854],[0.00011925],[16415.96423029],[-2515.23370237],15100.028125,[8657.98096687],[19696.90669962],[-3280.94246933],[1.19986292],[0.83342854],[0.83342854],[0.83342854],[1.08714792]
962,9175945.132196156,[10574.98608238],[0.75041907],[12584.79442263],9.204747069329932e-10,[0.83342854],[0.00012493],[16770.35530979],[-2515.23370237],15100.028125,[8844.89117075],[20122.12741345],[-3351.77210365],[1.19986292],[0.83342854],[0.83342854],[0.83342854],[1.11061749]
980,9098167.115517354,[10391.23761139],[0.76368875],[12584.79442263],9.283436212098198e-10,[0.83342854],[0.00012381],[16478.95756023],[-2515.23370237],15100.028125,[8691.20442204],[19772.49006013],[-3293.5324999],[1.19986292],[0.83342854],[0.83342854],[0.83342854],[1.09131966]
941,8943338.171478892,[11052.52520508],[0.71799621],[12584.79442263],9.44415300466581e-10,[0.83342854],[0.00013396],[17527.66134308],[-2515.23370237],15100.028125,[9244.30366521],[21030.79083836],[-3503.12949528],[1.19986292],[0.83342854],[0.83342854],[0.83342854],[1.16077011]
