,income,energy_consumptions,energy_ratios,npv,payback_periods,ov_multiplier,portion_of_income_spent_on_electricity,npv_energy_consumptions,npv_actual,installation_cost,solar_installation_right_sized,installation_cost_right_sized,npv_actual_right_sized,payback_period,multiplier,multiplier_right_sized,ov_multiplier_right_sized,ov_multiplier_check
907,9869267.096451586,[18517.05625063],[0.37894995],[13694.3934685],4.116869962128294,[0.90691179],[0.00025029],[36137.7369891],[-1405.6346565],15100.028125,[17515.17601708],[39847.02543886],[-3709.28844976],[1.10264308],[0.90691179],[0.90691179],[0.90691179],[2.39322316]
862,9595806.938948562,[17836.33363816],[0.39341255],[13694.3934685],4.234192029508947,[0.90691179],[0.00024796],[34809.24425251],[-1405.6346565],15100.028125,[16871.2844495],[38382.17212261],[-3572.9278701],[1.10264308],[0.90691179],[0.90691179],[0.90691179],[2.30524367]
906,9533771.903483855,[18208.28546245],[0.38537607],[13694.3934685],4.261743375961759,[0.90691179],[0.00025478],[35535.14241996],[-1405.6346565],15100.028125,[17223.11152094],[39182.57871014],[-3647.43629018],[1.10264308],[0.90691179],[0.90691179],[0.90691179],[2.35331631]
871,9443806.873141048,[18050.73672181],[0.38873967],[13694.3934685],4.302342244329356,[0.90691179],[0.00025498],[35227.67157388],[-1405.6346565],15100.028125,[17074.08708173],[38843.54811093],[-3615.87653705],[1.10264308],[0.90691179],[0.90691179],[0.90691179],[2.33295404]
972,9428454.49979428,[18605.11934227],[0.37715627],[13694.3934685],4.309347757735816,[0.90691179],[0.00026324],[36309.60020543],[-1405.6346565],15100.028125,[17598.47438426],[40036.5292242],[-3726.92901877],[1.10264308],[0.90691179],[0.90691179],[0.90691179],[2.40460481]
973,9336183.093957359,[18489.91332516],[0.37950624],[13694.3934685],4.351937922457825,[0.90691179],[0.00026419],[36084.76507561],[-1405.6346565],15100.028125,[17489.50168144],[39788.61632528],[-3703.85124967],[1.10264308],[0.90691179],[0.90691179],[0.90691179],[2.38971509]
878,9298263.4946648,[17845.64147893],[0.39320735],[13694.3934685],4.369685724750198,[0.90691179],[0.00025603],[34827.40935915],[-1405.6346565],15100.028125,[16880.08868205],[38402.20175166],[-3574.79239251],[1.10264308],[0.90691179],[0.90691179],[0.90691179],[2.30644665]
863,9284817.711757755,[17898.92548607],[0.3920368],[13694.3934685],4.376013672961028,[0.90691179],[0.00025716],[34931.39799589],[-1405.6346565],15100.028125,[16930.48971509],[38516.86410184],[-3585.46610595],[1.10264308],[0.90691179],[0.90691179],[0.90691179],[2.31333331]
889,9218920.549674615,[18672.49281499],[0.37579543],[13694.3934685],4.407293569639964,[0.90691179],[0.0002702],[36441.08572905],[-1405.6346565],15100.028125,[17662.20256101],[40181.51082629],[-3740.42509724],[1.10264308],[0.90691179],[0.90691179],[0.90691179],[2.41331244]
850,9042433.055410398,[18435.45027926],[0.3806274],[13694.3934685],4.493313802670846,[0.90691179],[0.00027197],[35978.47543638],[-1405.6346565],15100.028125,[17437.98540247],[39671.41679063],[-3692.94135425],[1.10264308],[0.90691179],[0.90691179],[0.90691179],[2.38267605]
885,8981970.294204623,[17969.9668466],[0.39048695],[13694.3934685],4.523560858781553,[0.90691179],[0.00026689],[35070.04173966],[-1405.6346565],15100.028125,[16997.68732563],[38669.7386658],[-3599.69692615],[1.10264308],[0.90691179],[0.90691179],[0.90691179],[2.32251499]
861,8886296.835146077,[18122.0966022],[0.38720892],[13694.3934685],4.572263341114775,[0.90691179],[0.00027205],[35366.93693842],[-1405.6346565],15100.028125,[17141.58597834],[38997.10810073],[-3630.17116231],[1.10264308],[0.90691179],[0.90691179],[0.90691179],[2.34217689]
859,8884326.875898963,[18030.32537197],[0.38917975],[13694.3934685],4.5732771683382545,[0.90691179],[0.00027073],[35187.83694887],[-1405.6346565],15100.028125,[17054.7801044],[38799.62473752],[-3611.78778864],[1.10264308],[0.90691179],[0.90691179],[0.90691179],[2.33031599]
866,8812684.09645962,[18362.25805058],[0.38214458],[13694.3934685],4.610455658330635,[0.90691179],[0.00027795],[35835.63407575],[-1405.6346565],15100.028125,[17368.75329824],[39513.9137535],[-3678.27967775],[1.10264308],[0.90691179],[0.90691179],[0.90691179],[2.37321638]
852,8758615.01410592,[18241.18380682],[0.38468103],[13694.3934685],4.638917133835254,[0.90691179],[0.00027783],[35599.34656235],[-1405.6346565],15100.028125,[17254.2298739],[39253.37296313],[-3654.02640078],[1.10264308],[0.90691179],[0.90691179],[0.90691179],[2.35756823]
948,8674081.582656087,[17773.19332827],[0.39481017],[13694.3934685],4.684125791351066,[0.90691179],[0.00027334],[34686.02013517],[-1405.6346565],15100.028125,[16811.5603969],[38246.29990294],[-3560.27976778],[1.10264308],[0.90691179],[0.90691179],[0.90691179],[2.29708315]
855,8600819.695124004,[18747.6725392],[0.37428846],[13694.3934685],4.724025232227223,[0.90691179],[0.00029078],[36587.80586986],[-1405.6346565],15100.028125,[17733.31462572],[40343.29077352],[-3755.48490366],[1.10264308],[0.90691179],[0.90691179],[0.90691179],[2.42302899]
968,8486756.65044377,[17948.85554652],[0.39094623],[13694.3934685],4.787516707631543,[0.90691179],[0.00028213],[35028.84109743],[-1405.6346565],15100.028125,[16977.71826944],[38624.30906297],[-3595.46796553],[1.10264308],[0.90691179],[0.90691179],[0.90691179],[2.31978648]
875,8452148.271736223,[18799.08444721],[0.37326485],[13694.3934685],4.807119793848153,[0.90691179],[0.00029671],[36688.1409331],[-1405.6346565],15100.028125,[17781.94485107],[40453.92453619],[-3765.78360309],[1.10264308],[0.90691179],[0.90691179],[0.90691179],[2.42967368]
937,8445368.12750791,[17894.89654478],[0.39212506],[13694.3934685],4.810979064993351,[0.90691179],[0.00028266],[34923.5351467],[-1405.6346565],15100.028125,[16926.67876291],[38508.19418562],[-3584.65903893],[1.10264308],[0.90691179],[0.90691179],[0.90691179],[2.31281259]
864,8415362.003764037,[18793.655112],[0.37337268],[13694.3934685],4.828133268590154,[0.90691179],[0.00029792],[36677.54508646],[-1405.6346565],15100.028125,[17776.80927441],[40442.24109927],[-3764.69601281],[1.10264308],[0.90691179],[0.90691179],[0.90691179],[2.42897197]
884,8381494.47536748,[18186.29537259],[0.38584205],[13694.3934685],4.84764255074227,[0.90691179],[0.00028945],[35492.22673869],[-1405.6346565],15100.028125,[17202.31122258],[39135.25803138],[-3643.03129269],[1.10264308],[0.90691179],[0.90691179],[0.90691179],[2.35047421]
867,8343229.3034911975,[18348.71820595],[0.38242658],[13694.3934685],4.869875653615436,[0.90691179],[0.00029338],[35809.20982465],[-1405.6346565],15100.028125,[17355.94603781],[39484.77723601],[-3675.56741136],[1.10264308],[0.90691179],[0.90691179],[0.90691179],[2.37146643]
925,8330915.202410826,[18028.52062569],[0.38921871],[13694.3934685],4.877073919302992,[0.90691179],[0.00028868],[35184.31482064],[-1405.6346565],15100.028125,[17053.07300537],[38795.74108721],[-3611.42626657],[1.10264308],[0.90691179],[0.90691179],[0.90691179],[2.33008273]
902,8328642.74500308,[17663.34836086],[0.39726542],[13694.3934685],4.8784046214468315,[0.90691179],[0.00028291],[34471.64758652],[-1405.6346565],15100.028125,[16707.65867987],[38009.9234967],[-3538.27591018],[1.10264308],[0.90691179],[0.90691179],[0.90691179],[2.28288632]
934,8179056.977494884,[18014.18862648],[0.38952837],[13694.3934685],4.967625163805514,[0.90691179],[0.00029381],[35156.34460706],[-1405.6346565],15100.028125,[17039.51645051],[38764.89992491],[-3608.55531784],[1.10264308],[0.90691179],[0.90691179],[0.90691179],[2.32823041]
846,8152749.31625632,[18324.87339885],[0.3829242],[13694.3934685],4.98365492197666,[0.90691179],[0.00029984],[35762.67449226],[-1405.6346565],15100.028125,[17333.39137319],[39433.46537401],[-3670.79088175],[1.10264308],[0.90691179],[0.90691179],[0.90691179],[2.36838463]
988,8041650.157179671,[18187.83387158],[0.38580941],[13694.3934685],5.052506446245653,[0.90691179],[0.00030171],[35495.22926087],[-1405.6346565],15100.028125,[17203.76647985],[39138.56874166],[-3643.33948079],[1.10264308],[0.90691179],[0.90691179],[0.90691179],[2.35067306]
986,7988377.84599483,[18278.39775971],[0.38389784],[13694.3934685],5.0862002325007385,[0.90691179],[0.00030524],[35671.97301137],[-1405.6346565],15100.028125,[17289.43033592],[39333.45401421],[-3661.48100284],[1.10264308],[0.90691179],[0.90691179],[0.90691179],[2.36237792]
887,7905565.826728988,[18565.75138821],[0.37795602],[13694.3934685],5.139478963065437,[0.90691179],[0.00031328],[36232.77002517],[-1405.6346565],15100.028125,[17561.23646505],[39951.81295798],[-3719.04293281],[1.10264308],[0.90691179],[0.90691179],[0.90691179],[2.39951672]
