,income,energy_consumptions,energy_ratios,npv,payback_periods,ov_multiplier,portion_of_income_spent_on_electricity,npv_energy_consumptions,npv_actual,installation_cost,solar_installation_right_sized,installation_cost_right_sized,npv_actual_right_sized,payback_period,multiplier,multiplier_right_sized,ov_multiplier_right_sized,ov_multiplier_check
939,9949088.377986275,[10312.36875065],[0.6072672],[18259.07345387],3.5994991529555796e-10,[1.20920791],[0.00020658],[30067.61011863],[3159.04532887],15100.028125,[10929.90858574],[24865.54203256],[5202.06808606],[0.82698764],[1.20920791],[1.20920791],[1.20920791],[1.99122875]
911,9790937.209204257,[10500.40476741],[0.59639256],[18259.07345387],3.657641186338723e-10,[1.20920791],[0.00021374],[30615.86375238],[3159.04532887],15100.028125,[11129.20484092],[25318.94101309],[5296.92273929],[0.82698764],[1.20920791],[1.20920791],[1.20920791],[2.02753687]
938,9542834.257231008,[10220.60849436],[0.61271922],[18259.07345387],3.752735741177286e-10,[1.20920791],[0.00021346],[29800.06619374],[3159.04532887],15100.028125,[10832.65341215],[24644.28651264],[5155.77968111],[0.82698764],[1.20920791],[1.20920791],[1.20920791],[1.97351064]
942,9538353.883560335,[10516.38339228],[0.5954864],[18259.07345387],3.754498483324727e-10,[1.20920791],[0.00021974],[30662.45237568],[3159.04532887],15100.028125,[11146.14032039],[25357.46922888],[5304.9831468],[0.82698764],[1.20920791],[1.20920791],[1.20920791],[2.0306222]
933,9461734.105409246,[10294.48619258],[0.60832209],[18259.07345387],3.784901878480007e-10,[1.20920791],[0.00021684],[30015.47022751],[3159.04532887],15100.028125,[10910.95515907],[24822.42298689],[5193.04724063],[0.82698764],[1.20920791],[1.20920791],[1.20920791],[1.98777578]
971,9452430.458333358,[10433.46744804],[0.6002188],[18259.07345387],3.788627205151222e-10,[1.20920791],[0.00021998],[30420.69567124],[3159.04532887],15100.028125,[11058.25908642],[25157.53942162],[5263.15624963],[0.82698764],[1.20920791],[1.20920791],[1.20920791],[2.01461185]
990,9363936.108432971,[10612.70425911],[0.59008177],[18259.07345387],3.824431817405341e-10,[1.20920791],[0.00022588],[30943.29360045],[3159.04532887],15100.028125,[11248.22920945],[25589.7214515],[5353.57214895],[0.82698764],[1.20920791],[1.20920791],[1.20920791],[2.04922092]
988,9261140.427242119,[10378.69219166],[0.60338655],[18259.07345387],3.8668817809845265e-10,[1.20920791],[0.00022335],[30260.98832439],[3159.04532887],15100.028125,[11000.20370076],[25025.46341922],[5235.52490517],[0.82698764],[1.20920791],[1.20920791],[1.20920791],[2.00403523]
909,9260259.321610294,[10276.09665731],[0.60941071],[18259.07345387],3.867249711427562e-10,[1.20920791],[0.00022116],[29961.85215099],[3159.04532887],15100.028125,[10891.46439567],[24778.08150014],[5183.77065085],[0.82698764],[1.20920791],[1.20920791],[1.20920791],[1.98422492]
943,9154659.399865916,[10299.73564233],[0.60801204],[18259.07345387],3.9118588278408606e-10,[1.20920791],[0.00022423],[30030.77596494],[3159.04532887],15100.028125,[10916.51896378],[24835.08064261],[5195.69532233],[0.82698764],[1.20920791],[1.20920791],[1.20920791],[1.98878941]
