,income,energy_consumptions,energy_ratios,npv,payback_periods,ov_multiplier,portion_of_income_spent_on_electricity,npv_energy_consumptions,npv_actual,installation_cost,solar_installation_right_sized,installation_cost_right_sized,npv_actual_right_sized,payback_period,multiplier,multiplier_right_sized,ov_multiplier_right_sized,ov_multiplier_check
869,9919826.308337647,[11040.09974361],[0.52799905],[8749.56939036],6.398560215713847,[0.5794406],[0.00011419],[16571.1838336],[-6350.45873464],15100.028125,[12570.80850388],[28598.58934632],[-12027.40551271],[1.72580243],[0.5794406],[0.5794406],[0.5794406],[1.09742735]
991,9918509.38910547,[10996.5042083],[0.5300923],[8749.56939036],6.3994097775457455,[0.5794406],[0.00011375],[16505.74695833],[-6350.45873464],15100.028125,[12521.16845182],[28485.65822788],[-11979.91126955],[1.72580243],[0.5794406],[0.5794406],[0.5794406],[1.09309379]
965,9897208.510294992,[10782.36896157],[0.54061981],[8749.56939036],6.413182656230507,[0.5794406],[0.00011178],[16184.33006707],[-6350.45873464],15100.028125,[12277.34337386],[27930.95617554],[-11746.62610848],[1.72580243],[0.5794406],[0.5794406],[0.5794406],[1.07180794]
973,9894839.971248358,[10692.5808499],[0.54515952],[8749.56939036],6.414717787023792,[0.5794406],[0.00011087],[16049.55815927],[-6350.45873464],15100.028125,[12175.1061492],[27698.36648943],[-11648.80833016],[1.72580243],[0.5794406],[0.5794406],[0.5794406],[1.06288267]
946,9865554.390685668,[10391.5976692],[0.56094957],[8749.56939036],6.433759670236779,[0.5794406],[0.00010807],[15597.7825654],[-6350.45873464],15100.028125,[11832.39167965],[26918.69107121],[-11320.90850581],[1.72580243],[0.5794406],[0.5794406],[0.5794406],[1.03296381]
929,9824637.298933733,[10533.24364272],[0.55340619],[8749.56939036],6.4605546273153,[0.5794406],[0.00011],[15810.39309619],[-6350.45873464],15100.028125,[11993.67685368],[27285.61484212],[-11475.22174593],[1.72580243],[0.5794406],[0.5794406],[0.5794406],[1.04704395]
918,9824131.343030035,[10883.37196431],[0.53560259],[8749.56939036],6.460887354519439,[0.5794406],[0.00011366],[16335.93552037],[-6350.45873464],15100.028125,[12392.35043315],[28192.59723542],[-11856.66171505],[1.72580243],[0.5794406],[0.5794406],[0.5794406],[1.08184802]
978,9789316.088941775,[10844.40009155],[0.5375274],[8749.56939036],6.483865204334435,[0.5794406],[0.00011366],[16277.43876012],[-6350.45873464],15100.028125,[12347.97511401],[28091.64338438],[-11814.20462425],[1.72580243],[0.5794406],[0.5794406],[0.5794406],[1.07797407]
892,9787945.900223881,[10416.35784046],[0.55961616],[8749.56939036],6.4847728635146025,[0.5794406],[0.00010919],[15634.94756926],[-6350.45873464],15100.028125,[11860.58484625],[26982.83052522],[-11347.88295596],[1.72580243],[0.5794406],[0.5794406],[0.5794406],[1.03542506]
876,9746950.663946813,[10911.49204796],[0.53422229],[8749.56939036],6.512047526628086,[0.5794406],[0.00011486],[16378.14375094],[-6350.45873464],15100.028125,[12424.36936367],[28265.44030235],[-11887.29655141],[1.72580243],[0.5794406],[0.5794406],[0.5794406],[1.08464326]
902,9412962.360559562,[10197.7915812],[0.57161025],[8749.56939036],6.74310631786566,[0.5794406],[0.00011115],[15306.87973056],[-6350.45873464],15100.028125,[11611.71439632],[26416.65025163],[-11109.77052107],[1.72580243],[0.5794406],[0.5794406],[0.5794406],[1.01369876]
888,9382706.548333576,[11070.03723478],[0.52657115],[8749.56939036],6.764850380468729,[0.5794406],[0.00012105],[16616.1199919],[-6350.45873464],15100.028125,[12604.8968253],[28676.14027755],[-12060.02028565],[1.72580243],[0.5794406],[0.5794406],[0.5794406],[1.10040325]
920,9364477.6022623,[11019.48194284],[0.52898696],[8749.56939036],6.778018877207515,[0.5794406],[0.00012073],[16540.23652562],[-6350.45873464],15100.028125,[12547.33204702],[28545.18040696],[-12004.94388134],[1.72580243],[0.5794406],[0.5794406],[0.5794406],[1.09537786]
849,9243023.05992471,[11298.05438493],[0.5159439],[8749.56939036],6.867082939403361,[0.5794406],[0.00012541],[16958.3736128],[-6350.45873464],15100.028125,[12864.52853123],[29266.80240855],[-12308.42879575],[1.72580243],[0.5794406],[0.5794406],[0.5794406],[1.12306901]
877,8974260.041195605,[10654.26907421],[0.54711986],[8749.56939036],7.072739777090818,[0.5794406],[0.00012181],[15992.05220438],[-6350.45873464],15100.028125,[12131.48244952],[27599.12257266],[-11607.07036829],[1.72580243],[0.5794406],[0.5794406],[0.5794406],[1.05907433]
850,8957077.644080075,[11020.10933201],[0.52895684],[8749.56939036],7.086307441498093,[0.5794406],[0.00012623],[16541.17823644],[-6350.45873464],15100.028125,[12548.04642364],[28546.80561379],[-12005.62737735],[1.72580243],[0.5794406],[0.5794406],[0.5794406],[1.09544023]
857,8935782.39337218,[10741.20100565],[0.54269185],[8749.56939036],7.103195128207188,[0.5794406],[0.00012333],[16122.53698716],[-6350.45873464],15100.028125,[12230.46748484],[27824.31352801],[-11701.77654085],[1.72580243],[0.5794406],[0.5794406],[0.5794406],[1.06771569]
948,8877826.752541134,[10706.83184149],[0.5444339],[8749.56939036],7.149565736361417,[0.5794406],[0.00012374],[16070.94889006],[-6350.45873464],15100.028125,[12191.33303939],[27735.28266462],[-11664.33377456],[1.72580243],[0.5794406],[0.5794406],[0.5794406],[1.06429927]
854,8795442.990952712,[10558.29762611],[0.552093],[8749.56939036],7.216533155704709,[0.5794406],[0.00012316],[15847.99911192],[-6350.45873464],15100.028125,[12022.20456945],[27350.51539549],[-11502.51628357],[1.72580243],[0.5794406],[0.5794406],[0.5794406],[1.04953441]
903,8762220.781915145,[10244.02834382],[0.56903027],[8749.56939036],7.243894846193059,[0.5794406],[0.00011995],[15376.28108662],[-6350.45873464],15100.028125,[11664.3618816],[26536.42328063],[-11160.14219401],[1.72580243],[0.5794406],[0.5794406],[0.5794406],[1.01829486]
968,8589988.831655743,[10774.57829378],[0.54101071],[8749.56939036],7.389137192985887,[0.5794406],[0.00012869],[16172.63627886],[-6350.45873464],15100.028125,[12268.47253074],[27910.77500743],[-11738.13872857],[1.72580243],[0.5794406],[0.5794406],[0.5794406],[1.07103352]
905,8564311.520893557,[11291.37041976],[0.51624931],[8749.56939036],7.4112911246248565,[0.5794406],[0.00013527],[16948.34098464],[-6350.45873464],15100.028125,[12856.91783494],[29249.48807448],[-12301.14708984],[1.72580243],[0.5794406],[0.5794406],[0.5794406],[1.1224046]
885,8473292.08978263,[10883.37196431],[0.53560259],[8749.56939036],7.490902625658115,[0.5794406],[0.00013178],[16335.93552037],[-6350.45873464],15100.028125,[12392.35043315],[28192.59723542],[-11856.66171505],[1.72580243],[0.5794406],[0.5794406],[0.5794406],[1.08184802]
871,8445552.247781351,[10480.52841387],[0.55618973],[8749.56939036],7.515506872862589,[0.5794406],[0.00012732],[15731.26756577],[-6350.45873464],15100.028125,[11933.65266346],[27149.05980936],[-11417.79224359],[1.72580243],[0.5794406],[0.5794406],[0.5794406],[1.04180386]
926,8391886.053544205,[10770.53725032],[0.54121369],[8749.56939036],7.563568613579304,[0.5794406],[0.00013168],[16166.57067478],[-6350.45873464],15100.028125,[12263.87119699],[27900.30697316],[-11733.73629838],[1.72580243],[0.5794406],[0.5794406],[0.5794406],[1.07063183]
960,8296276.598594731,[10639.51742013],[0.54787844],[8749.56939036],7.650734062322871,[0.5794406],[0.00013158],[15969.90997947],[-6350.45873464],15100.028125,[12114.68548004],[27560.90946709],[-11590.99948762],[1.72580243],[0.5794406],[0.5794406],[0.5794406],[1.05760796]
841,8278925.527108011,[10615.03225713],[0.54914221],[8749.56939036],7.666768562597888,[0.5794406],[0.00013155],[15933.15776284],[-6350.45873464],15100.028125,[12086.80545155],[27497.48240229],[-11564.32463944],[1.72580243],[0.5794406],[0.5794406],[0.5794406],[1.05517405]
984,8202724.478465075,[10368.67333101],[0.56218978],[8749.56939036],7.737990728563161,[0.5794406],[0.00012969],[15563.37314599],[-6350.45873464],15100.028125,[11806.28888419],[26859.30721154],[-11295.93406555],[1.72580243],[0.5794406],[0.5794406],[0.5794406],[1.03068504]
844,8182798.599342767,[10084.28526304],[0.57804416],[8749.56939036],7.7568334589609576,[0.5794406],[0.00012644],[15136.50680746],[-6350.45873464],15100.028125,[11482.47043813],[26122.62024675],[-10986.11343929],[1.72580243],[0.5794406],[0.5794406],[0.5794406],[1.0024158]
936,8141679.634013629,[10779.31643907],[0.5407729],[8749.56939036],7.796008786461001,[0.5794406],[0.00013584],[16179.74823242],[-6350.45873464],15100.028125,[12273.86761942],[27923.04883417],[-11743.30060175],[1.72580243],[0.5794406],[0.5794406],[0.5794406],[1.07150451]
884,8075307.375733861,[11087.95463464],[0.52572024],[8749.56939036],7.860085444432093,[0.5794406],[0.00014088],[16643.01399954],[-6350.45873464],15100.028125,[12625.2984709],[28722.55402131],[-12079.54002177],[1.72580243],[0.5794406],[0.5794406],[0.5794406],[1.1021843]
934,8038580.104976667,[11440.91493708],[0.5095014],[8749.56939036],7.8959971953286985,[0.5794406],[0.00014603],[17172.80722546],[-6350.45873464],15100.028125,[13027.1966851],[29636.87245859],[-12464.06523313],[1.72580243],[0.5794406],[0.5794406],[0.5794406],[1.13726988]
976,8031457.818114969,[11025.99256692],[0.5286746],[8749.56939036],7.902999355877616,[0.5794406],[0.00014085],[16550.00896891],[-6350.45873464],15100.028125,[12554.74536851],[28562.04571335],[-12012.03674444],[1.72580243],[0.5794406],[0.5794406],[0.5794406],[1.09602504]
970,7885540.867320586,[10630.4846554],[0.54834398],[8749.56939036],8.049239364970544,[0.5794406],[0.00013831],[15956.35180441],[-6350.45873464],15100.028125,[12104.40032335],[27537.51073562],[-11581.1589312],[1.72580243],[0.5794406],[0.5794406],[0.5794406],[1.05671007]
959,7855771.38742685,[10760.39190925],[0.54172397],[8749.56939036],8.07974199260796,[0.5794406],[0.00014054],[16151.34252323],[-6350.45873464],15100.028125,[12252.31920536],[27874.0261922],[-11722.68366897],[1.72580243],[0.5794406],[0.5794406],[0.5794406],[1.06962334]
954,7833578.006463627,[10866.29010038],[0.53644456],[8749.56939036],8.102632782995004,[0.5794406],[0.00014232],[16310.2956517],[-6350.45873464],15100.028125,[12372.90017043],[28148.34788774],[-11838.05223604],[1.72580243],[0.5794406],[0.5794406],[0.5794406],[1.08015002]
913,7563736.808166207,[10740.80613799],[0.5427118],[8749.56939036],8.39169944342755,[0.5794406],[0.0001457],[16121.94429101],[-6350.45873464],15100.028125,[12230.01786882],[27823.29065156],[-11701.34636055],[1.72580243],[0.5794406],[0.5794406],[0.5794406],[1.06767644]
848,7468688.505370361,[10741.20100565],[0.54269185],[8749.56939036],8.49849420252041,[0.5794406],[0.00014756],[16122.53698716],[-6350.45873464],15100.028125,[12230.46748484],[27824.31352801],[-11701.77654085],[1.72580243],[0.5794406],[0.5794406],[0.5794406],[1.06771569]
944,7452967.056613713,[10558.99409021],[0.55205659],[8749.56939036],8.516421108690622,[0.5794406],[0.00014536],[15849.04450415],[-6350.45873464],15100.028125,[12022.99759822],[27352.31953595],[-11503.2750318],[1.72580243],[0.5794406],[0.5794406],[0.5794406],[1.04960364]
986,7277154.551935726,[10592.12393971],[0.55032987],[8749.56939036],8.722173688950594,[0.5794406],[0.00014934],[15898.77239061],[-6350.45873464],15100.028125,[12060.72089815],[27438.14004329],[-11539.36765268],[1.72580243],[0.5794406],[0.5794406],[0.5794406],[1.05289687]
908,7204076.01037765,[10919.27306771],[0.5338416],[8749.56939036],8.810651896494008,[0.5794406],[0.00015551],[16389.82305745],[-6350.45873464],15100.028125,[12433.22922106],[28285.59647792],[-11895.77342047],[1.72580243],[0.5794406],[0.5794406],[0.5794406],[1.08541672]
870,7194738.739525989,[10571.43382061],[0.55140696],[8749.56939036],8.822086285721419,[0.5794406],[0.00015075],[15867.71653285],[-6350.45873464],15100.028125,[12037.16209603],[27384.54376847],[-11516.82723562],[1.72580243],[0.5794406],[0.5794406],[0.5794406],[1.0508402]
