,income,energy_consumptions,energy_ratios,npv,payback_periods,ov_multiplier,portion_of_income_spent_on_electricity,npv_energy_consumptions,npv_actual,installation_cost,solar_installation_right_sized,installation_cost_right_sized,npv_actual_right_sized,payback_period,multiplier,multiplier_right_sized,ov_multiplier_right_sized,ov_multiplier_check
930,9902195.733830916,[13413.20531544],[0.48387481],[14831.31951261],3.842310553453536e-10,[0.98220476],[0.00021158],[30651.1504084],[-268.70861239],15100.028125,[13717.13280595],[31206.47713354],[-555.32672514],[1.01811765],[0.98220476],[0.98220476],[0.98220476],[2.02987373]
931,9844945.258112984,[13556.26200564],[0.47876857],[14831.31951261],3.864654416347031e-10,[0.98220476],[0.00021508],[30978.05602307],[-268.70861239],15100.028125,[13863.43099286],[31539.30550876],[-561.24948569],[1.01811765],[0.98220476],[0.98220476],[0.98220476],[2.05152307]
926,9763762.731444899,[14175.30082717],[0.45786063],[14831.31951261],3.8967877668644086e-10,[0.98220476],[0.00022678],[32392.65093762],[-268.70861239],15100.028125,[14496.49650757],[32979.52955471],[-586.87861709],[1.01811765],[0.98220476],[0.98220476],[0.98220476],[2.14520468]
956,9591986.007428737,[13771.92680719],[0.47127118],[14831.31951261],3.966572839138264e-10,[0.98220476],[0.00022427],[31470.88187003],[-268.70861239],15100.028125,[14083.9825057],[32041.06020048],[-570.17833045],[1.01811765],[0.98220476],[0.98220476],[0.98220476],[2.08416048]
981,9299425.281187259,[12986.11433303],[0.49978862],[14831.31951261],4.091361564830338e-10,[0.98220476],[0.00021812],[29675.18458725],[-268.70861239],15100.028125,[13280.36444312],[30212.8291081],[-537.64452085],[1.01811765],[0.98220476],[0.98220476],[0.98220476],[1.96524035]
945,9188965.460958343,[13661.56448219],[0.47507825],[14831.31951261],4.140543495577906e-10,[0.98220476],[0.00023223],[31218.68769694],[-268.70861239],15100.028125,[13971.11949994],[31784.29686237],[-565.60916543],[1.01811765],[0.98220476],[0.98220476],[0.98220476],[2.06745891]
992,9094149.90790288,[13161.68345037],[0.49312173],[14831.31951261],4.183712777529401e-10,[0.98220476],[0.00022606],[30076.3858882],[-268.70861239],15100.028125,[13459.91175061],[30621.29923263],[-544.91334442],[1.01811765],[0.98220476],[0.98220476],[0.98220476],[1.99180993]
965,8968364.490028616,[13769.6643028],[0.47134861],[14831.31951261],4.242391264623959e-10,[0.98220476],[0.00023982],[31465.71171415],[-268.70861239],15100.028125,[14081.66873562],[32035.79637354],[-570.08465939],[1.01811765],[0.98220476],[0.98220476],[0.98220476],[2.08381809]
980,8943760.134221178,[13795.54103276],[0.47046449],[14831.31951261],4.2540621169928396e-10,[0.98220476],[0.00024093],[31524.84385471],[-268.70861239],15100.028125,[14108.13180191],[32095.99984935],[-571.15599464],[1.01811765],[0.98220476],[0.98220476],[0.98220476],[2.08773412]
983,8923207.308581652,[13999.60083215],[0.46360694],[14831.31951261],4.2638604993375125e-10,[0.98220476],[0.00024506],[31991.15056187],[-268.70861239],15100.028125,[14316.81535686],[32570.75493686],[-579.60437499],[1.01811765],[0.98220476],[0.98220476],[0.98220476],[2.1186153]
957,8835868.521530788,[13766.56333804],[0.47145478],[14831.31951261],4.306006939527153e-10,[0.98220476],[0.00024336],[31458.62555279],[-268.70861239],15100.028125,[14078.49750664],[32028.58182761],[-569.95627482],[1.01811765],[0.98220476],[0.98220476],[0.98220476],[2.08334881]
963,8768660.263652,[13684.19562232],[0.47429256],[14831.31951261],4.339010752665999e-10,[0.98220476],[0.00024376],[31270.40318654],[-268.70861239],15100.028125,[13994.26343515],[31836.94931496],[-566.54612842],[1.01811765],[0.98220476],[0.98220476],[0.98220476],[2.07088377]
978,8763511.072982438,[13516.00114325],[0.4801947],[14831.31951261],4.3415602323775773e-10,[0.98220476],[0.00024091],[30886.05402058],[-268.70861239],15100.028125,[13822.25786658],[31445.63664646],[-559.58262588],[1.01811765],[0.98220476],[0.98220476],[0.98220476],[2.04543023]
984,8742211.170687975,[13730.54158509],[0.47269163],[14831.31951261],4.3521381979459714e-10,[0.98220476],[0.00024533],[31376.31053994],[-268.70861239],15100.028125,[14041.65954304],[31944.77546041],[-568.46492047],[1.01811765],[0.98220476],[0.98220476],[0.98220476],[2.07789749]
986,8510443.019595765,[13901.24065248],[0.46688726],[14831.31951261],4.4706616427435184e-10,[0.98220476],[0.00025514],[31766.38305923],[-268.70861239],15100.028125,[14216.22645096],[32341.91517594],[-575.5321167],[1.01811765],[0.98220476],[0.98220476],[0.98220476],[2.10373006]
934,8316674.981170007,[13778.49880719],[0.47104639],[14831.31951261],4.5748224208118e-10,[0.98220476],[0.00025878],[31485.89985832],[-268.70861239],15100.028125,[14090.70341951],[32056.35027938],[-570.45042106],[1.01811765],[0.98220476],[0.98220476],[0.98220476],[2.08515505]
990,8234133.989231079,[14277.33306123],[0.45458855],[14831.31951261],4.620681570183441e-10,[0.98220476],[0.00027084],[32625.80962558],[-268.70861239],15100.028125,[14600.8406723],[33216.91252949],[-591.10290391],[1.01811765],[0.98220476],[0.98220476],[0.98220476],[2.16064562]
985,8205742.800525767,[13134.27847229],[0.49415064],[14831.31951261],4.6366687447263514e-10,[0.98220476],[0.00025002],[30013.76147553],[-268.70861239],15100.028125,[13431.88580789],[30557.54021295],[-543.77873742],[1.01811765],[0.98220476],[0.98220476],[0.98220476],[1.98766262]
968,8078085.187481131,[14408.86161668],[0.45043893],[14831.31951261],4.709941810148801e-10,[0.98220476],[0.00027861],[32926.37175383],[-268.70861239],15100.028125,[14735.34951046],[33522.9201363],[-596.54838247],[1.01811765],[0.98220476],[0.98220476],[0.98220476],[2.18055036]
970,7990531.514289984,[13283.69214053],[0.48859248],[14831.31951261],4.761549479207815e-10,[0.98220476],[0.00025967],[30355.19372162],[-268.70861239],15100.028125,[13584.68501449],[30905.15840797],[-549.96468635],[1.01811765],[0.98220476],[0.98220476],[0.98220476],[2.01027399]
982,7894498.922840878,[13777.62958979],[0.47107611],[14831.31951261],4.819471323300855e-10,[0.98220476],[0.0002726],[31483.9135685],[-268.70861239],15100.028125,[14089.81450666],[32054.32800266],[-570.41443416],[1.01811765],[0.98220476],[0.98220476],[0.98220476],[2.08502351]
