,income,energy_consumptions,energy_ratios,npv,payback_periods,ov_multiplier,portion_of_income_spent_on_electricity,npv_energy_consumptions,npv_actual,installation_cost,solar_installation_right_sized,installation_cost_right_sized,npv_actual_right_sized,payback_period,multiplier,multiplier_right_sized,ov_multiplier_right_sized,ov_multiplier_check
971,9876796.525237394,[18352.03402771],[0.35337017],[12551.83198438],3.801943313644076e-10,[0.8312456],[0.00024583],[35520.3492535],[-2548.19614062],15100.028125,[18783.06516688],[42731.47325466],[-7211.12400116],[1.20301388],[0.8312456],[0.8312456],[0.8312456],[2.35233663]
988,9865432.19022289,[18288.1513273],[0.35460454],[12551.83198438],3.8063229045924817e-10,[0.8312456],[0.00024525],[35396.70433076],[-2548.19614062],15100.028125,[18717.68206423],[42582.72669612],[-7186.02236537],[1.20301388],[0.8312456],[0.8312456],[0.8312456],[2.34414824]
981,9467397.489305621,[17608.61203435],[0.36828919],[12551.83198438],3.966350895456436e-10,[0.8312456],[0.00024607],[34081.45649606],[-2548.19614062],15100.028125,[18022.1825461],[41000.46529238],[-6919.00879631],[1.20301388],[0.8312456],[0.8312456],[0.8312456],[2.2570459]
960,9443119.207095131,[18783.04184092],[0.34526151],[12551.83198438],3.9765483931554337e-10,[0.8312456],[0.00026315],[36354.56457989],[-2548.19614062],15100.028125,[19224.19598817],[43735.04587309],[-7380.48129321],[1.20301388],[0.8312456],[0.8312456],[0.8312456],[2.40758257]
991,9093363.080365228,[18405.41261351],[0.35234534],[12551.83198438],4.129497544250829e-10,[0.8312456],[0.00026778],[35623.66346966],[-2548.19614062],15100.028125,[18837.69744656],[42855.76169093],[-7232.09822127],[1.20301388],[0.8312456],[0.8312456],[0.8312456],[2.35917862]
958,8988746.481691726,[18865.5325586],[0.34375184],[12551.83198438],4.1775591942473025e-10,[0.8312456],[0.00027767],[36514.2253073],[-2548.19614062],15100.028125,[19308.62415148],[43927.11994462],[-7412.89463732],[1.20301388],[0.8312456],[0.8312456],[0.8312456],[2.41815611]
962,8839706.548616612,[17288.40039944],[0.37511055],[12551.83198438],4.24799401460063e-10,[0.8312456],[0.00025875],[33461.68709667],[-2548.19614062],15100.028125,[17694.45015433],[40254.8741011],[-6793.18700444],[1.20301388],[0.8312456],[0.8312456],[0.8312456],[2.21600164]
973,8707031.957014654,[18200.87753365],[0.35630488],[12551.83198438],4.312723405028633e-10,[0.8312456],[0.00027656],[35227.78596309],[-2548.19614062],15100.028125,[18628.35848565],[42379.51555485],[-7151.72959176],[1.20301388],[0.8312456],[0.8312456],[0.8312456],[2.33296161]
959,8540783.575765926,[18552.59842398],[0.34955004],[12551.83198438],4.396671590637026e-10,[0.8312456],[0.00028739],[35908.54150471],[-2548.19614062],15100.028125,[18988.34018543],[43198.47392185],[-7289.93241714],[1.20301388],[0.8312456],[0.8312456],[0.8312456],[2.37804468]
979,8367977.5688847685,[18289.37381398],[0.35458084],[12551.83198438],4.4874666788039593e-10,[0.8312456],[0.00028916],[35399.07045288],[-2548.19614062],15100.028125,[18718.93326324],[42585.57317388],[-7186.50272101],[1.20301388],[0.8312456],[0.8312456],[0.8312456],[2.34430494]
972,8292678.4212065255,[18248.78835724],[0.35536943],[12551.83198438],4.52821375700783e-10,[0.8312456],[0.00029114],[35320.51732924],[-2548.19614062],15100.028125,[18677.3945827],[42491.07267565],[-7170.55534641],[1.20301388],[0.8312456],[0.8312456],[0.8312456],[2.33910275]
980,7757470.769446436,[17710.48488094],[0.36617075],[12551.83198438],4.840626748765558e-10,[0.8312456],[0.00030204],[34278.63132066],[-2548.19614062],15100.028125,[18126.44806312],[41237.6693436],[-6959.03802294],[1.20301388],[0.8312456],[0.8312456],[0.8312456],[2.27010381]
985,7680669.100786528,[17933.78683691],[0.36161138],[12551.83198438],4.889029850993581e-10,[0.8312456],[0.00030891],[34710.83210303],[-2548.19614062],15100.028125,[18354.9946746],[41757.61288472],[-7046.78078168],[1.20301388],[0.8312456],[0.8312456],[0.8312456],[2.29872632]
952,7506407.253394357,[18213.86701367],[0.35605077],[12551.83198438],5.002529071729887e-10,[0.8312456],[0.00032102],[35252.92709275],[-2548.19614062],15100.028125,[18641.65304741],[42409.76068285],[-7156.8335901],[1.20301388],[0.8312456],[0.8312456],[0.8312456],[2.33462658]
945,7388682.543030826,[18258.99978101],[0.35517068],[12551.83198438],5.082234930335224e-10,[0.8312456],[0.00032694],[35340.28153293],[-2548.19614062],15100.028125,[18687.84584047],[42514.84928707],[-7174.56775413],[1.20301388],[0.8312456],[0.8312456],[0.8312456],[2.34041164]
966,7320530.7959004305,[17624.47378576],[0.36795773],[12551.83198438],5.129548875114125e-10,[0.8312456],[0.00031852],[34112.15690501],[-2548.19614062],15100.028125,[18038.4168398],[41037.39831054],[-6925.24140552],[1.20301388],[0.8312456],[0.8312456],[0.8312456],[2.25907903]
983,7175932.046136696,[18149.32171634],[0.35731701],[12551.83198438],5.232911943413077e-10,[0.8312456],[0.00033461],[35127.99971411],[-2548.19614062],15100.028125,[18575.59178553],[42259.47131207],[-7131.47159796],[1.20301388],[0.8312456],[0.8312456],[0.8312456],[2.32635326]
951,6758350.750165492,[18217.40555825],[0.35598161],[12551.83198438],5.556240257052336e-10,[0.8312456],[0.00035662],[35259.77594336],[-2548.19614062],15100.028125,[18645.27470119],[42417.99994521],[-7158.22400185],[1.20301388],[0.8312456],[0.8312456],[0.8312456],[2.33508015]
953,6407586.179918575,[18825.08366216],[0.34449045],[12551.83198438],5.860400384006469e-10,[0.8312456],[0.00038869],[36435.93649602],[-2548.19614062],15100.028125,[19267.22523861],[43832.93741783],[-7397.00092181],[1.20301388],[0.8312456],[0.8312456],[0.8312456],[2.41297143]
992,6162412.799556774,[18455.00113459],[0.35139859],[12551.83198438],6.093558112830446e-10,[0.8312456],[0.00039621],[35719.64201813],[-2548.19614062],15100.028125,[18888.4506449],[42971.22521714],[-7251.58319901],[1.20301388],[0.8312456],[0.8312456],[0.8312456],[2.3655348]
964,6002608.672061294,[19044.40837024],[0.34052312],[12551.83198438],6.255783536935843e-10,[0.8312456],[0.00041975],[36860.43931785],[-2548.19614062],15100.028125,[19491.70118925],[44343.62020554],[-7483.1808877],[1.20301388],[0.8312456],[0.8312456],[0.8312456],[2.44108415]
975,5534925.814095497,[18000.07039472],[0.36027978],[12551.83198438],6.784376479576329e-10,[0.8312456],[0.00043025],[34839.12388363],[-2548.19614062],15100.028125,[18422.83502319],[41911.94967776],[-7072.82579413],[1.20301388],[0.8312456],[0.8312456],[0.8312456],[2.30722245]
948,5134427.516082113,[18264.89687296],[0.35505601],[12551.83198438],7.31357495879173e-10,[0.8312456],[0.00047064],[35351.69535034],[-2548.19614062],15100.028125,[18693.88143642],[42528.58026786],[-7176.88491752],[1.20301388],[0.8312456],[0.8312456],[0.8312456],[2.34116752]
963,5058507.08944515,[18069.2852722],[0.35889972],[12551.83198438],7.423340492633015e-10,[0.8312456],[0.00047258],[34973.08923146],[-2548.19614062],15100.028125,[18493.67553887],[42073.11185094],[-7100.02261948],[1.20301388],[0.8312456],[0.8312456],[0.8312456],[2.31609431]
965,5003881.421327553,[18341.75970065],[0.35356812],[12551.83198438],7.504378570862876e-10,[0.8312456],[0.00048495],[35500.46330055],[-2548.19614062],15100.028125,[18772.54952844],[42707.55017719],[-7207.08687664],[1.20301388],[0.8312456],[0.8312456],[0.8312456],[2.35101968]
961,4964021.1469905535,[18100.4665248],[0.35828145],[12551.83198438],7.564637497991872e-10,[0.8312456],[0.00048241],[35033.44052444],[-2548.19614062],15100.028125,[18525.58914031],[42145.71529421],[-7112.27476976],[1.20301388],[0.8312456],[0.8312456],[0.8312456],[2.32009108]
987,4908625.16224744,[17986.85070974],[0.36054458],[12551.83198438],7.650007745174096e-10,[0.8312456],[0.00048479],[34813.53719243],[-2548.19614062],15100.028125,[18409.30484969],[41881.16853304],[-7067.63134061],[1.20301388],[0.8312456],[0.8312456],[0.8312456],[2.30552797]
990,4551122.2351221815,[18299.69701132],[0.35438081],[12551.83198438],8.250936487611444e-10,[0.8312456],[0.00053197],[35419.05099424],[-2548.19614062],15100.028125,[18729.49891979],[42609.61004252],[-7190.55904828],[1.20301388],[0.8312456],[0.8312456],[0.8312456],[2.34562815]
982,4482292.523196199,[18612.52432275],[0.34842461],[12551.83198438],8.377637183432367e-10,[0.8312456],[0.00054937],[36024.5280406],[-2548.19614062],15100.028125,[19049.67355371],[43338.00733468],[-7313.47929408],[1.20301388],[0.8312456],[0.8312456],[0.8312456],[2.38572589]
969,4464465.063533996,[17863.44888808],[0.36303524],[12551.83198438],8.411090684988941e-10,[0.8312456],[0.00052937],[34574.69305138],[-2548.19614062],15100.028125,[18283.00471018],[41593.83571566],[-7019.14266428],[1.20301388],[0.8312456],[0.8312456],[0.8312456],[2.28971051]
984,4331658.302767847,[18245.28939407],[0.35543758],[12551.83198438],8.668971069429687e-10,[0.8312456],[0.00055726],[35313.74508842],[-2548.19614062],15100.028125,[18673.81343997],[42482.92557594],[-7169.18048751],[1.20301388],[0.8312456],[0.8312456],[0.8312456],[2.33865426]
970,4187309.3465998964,[18425.55749639],[0.35196012],[12551.83198438],8.967816180058649e-10,[0.8312456],[0.00058216],[35662.65387662],[-2548.19614062],15100.028125,[18858.31546892],[42902.66769178],[-7240.01381516],[1.20301388],[0.8312456],[0.8312456],[0.8312456],[2.36176076]
21,9955.493324176101,[9653.72356017],[0.67176788],[12551.83198438],9.533940224436254e-10,[0.8312456],[0.12828974],[18684.77531898],[-2548.19614062],15100.028125,[9880.45894313],[22478.04409562],[-3793.26877665],[1.20301388],[0.8312456],[0.8312456],[0.8312456],[1.23740003]
47,9870.200917930073,[9560.02587026],[0.67835187],[12551.83198438],9.616326865752821e-10,[0.8312456],[0.12814242],[18503.42350453],[-2548.19614062],15100.028125,[9784.56059133],[22259.87534527],[-3756.45184074],[1.20301388],[0.8312456],[0.8312456],[0.8312456],[1.22539]
954,3842477.895446382,[18581.88126198],[0.34899919],[12551.83198438],9.772605472591027e-10,[0.8312456],[0.00063979],[35965.21841754],[-2548.19614062],15100.028125,[19018.31078452],[43266.65703478],[-7301.43861724],[1.20301388],[0.8312456],[0.8312456],[0.8312456],[2.38179811]
39,9620.789399170653,[10044.65759928],[0.64562295],[12551.83198438],9.865622696787348e-10,[0.8312456],[0.13812881],[19441.42788311],[-2548.19614062],15100.028125,[10280.57478432],[23388.30763433],[-3946.87975121],[1.20301388],[0.8312456],[0.8312456],[0.8312456],[1.28750938]
52,9592.380794880883,[10376.3064951],[0.62498746],[12551.83198438],9.894840528862445e-10,[0.8312456],[0.14311206],[20083.33409314],[-2548.19614062],15100.028125,[10620.01306202],[24160.5297161],[-4077.19562296],[1.20301388],[0.8312456],[0.8312456],[0.8312456],[1.33001965]
27,9549.95198738614,[10786.60350943],[0.60121441],[12551.83198438],9.938801617310303e-10,[0.8312456],[0.14943192],[20877.46368254],[-2548.19614062],15100.028125,[11039.94665339],[25115.87863645],[-4238.41495392],[1.20301388],[0.8312456],[0.8312456],[0.8312456],[1.38261091]
46,9481.844899736096,[9795.87758809],[0.66201945],[12551.83198438],1.0010190976664346e-09,[0.8312456],[0.13668169],[18959.91434237],[-2548.19614062],15100.028125,[10025.95171882],[22809.04016032],[-3849.12581795],[1.20301388],[0.8312456],[0.8312456],[0.8312456],[1.25562113]
51,9222.939878674082,[10094.06996113],[0.6424625],[12551.83198438],1.0291195595553898e-09,[0.8312456],[0.14479607],[19537.06547554],[-2548.19614062],15100.028125,[10331.14768601],[23503.36098568],[-3966.29551014],[1.20301388],[0.8312456],[0.8312456],[0.8312456],[1.29384299]
17,9118.897592421248,[10292.74684896],[0.6300613],[12551.83198438],1.0408613244692365e-09,[0.8312456],[0.1493306],[19921.60445546],[-2548.19614062],15100.028125,[10534.49086452],[23965.96671679],[-4044.36226134],[1.20301388],[0.8312456],[0.8312456],[0.8312456],[1.3193091]
