,income,energy_consumptions,energy_ratios,npv,payback_periods,ov_multiplier,portion_of_income_spent_on_electricity,npv_energy_consumptions,npv_actual,installation_cost,solar_installation_right_sized,installation_cost_right_sized,npv_actual_right_sized,payback_period,multiplier,multiplier_right_sized,ov_multiplier_right_sized,ov_multiplier_check
953,9995965.547008771,[10418.8642746],[0.74735225],[12633.11509477],6.764094918270509e-10,[0.83662858],[0.00011559],[16903.82951818],[-2466.91303023],15100.028125,[8881.1868337],[20204.70004666],[-3300.87052848],[1.19527353],[0.83662858],[0.83662858],[0.83662858],[1.11945682]
967,9876852.677406741,[10904.96389033],[0.71403828],[12633.11509477],6.845668551318486e-10,[0.83662858],[0.00012244],[17692.48985741],[-2466.91303023],15100.028125,[9295.54500109],[21147.36487747],[-3454.87502006],[1.19527353],[0.83662858],[0.83662858],[0.83662858],[1.17168589]
931,9856554.040949162,[10598.5302074],[0.73468316],[12633.11509477],6.859766555210617e-10,[0.83662858],[0.00011925],[17195.32408211],[-2466.91303023],15100.028125,[9034.33660845],[20553.11578423],[-3357.79170212],[1.19527353],[0.83662858],[0.83662858],[0.83662858],[1.13876106]
933,9505324.328509336,[10973.96674181],[0.70954851],[12633.11509477],7.113240687320405e-10,[0.83662858],[0.00012803],[17804.44183288],[-2466.91303023],15100.028125,[9354.36400476],[21281.17811083],[-3476.73627795],[1.19527353],[0.83662858],[0.83662858],[0.83662858],[1.17909991]
948,9437220.607242526,[10622.43148087],[0.73303007],[12633.11509477],7.164573402876638e-10,[0.83662858],[0.00012483],[17234.10211408],[-2466.91303023],15100.028125,[9054.71039101],[20599.46613955],[-3365.36402547],[1.19527353],[0.83662858],[0.83662858],[0.83662858],[1.14132914]
921,9012745.559679206,[11054.4574324],[0.70438208],[12633.11509477],7.50200472342367e-10,[0.83662858],[0.00013602],[17935.03196974],[-2466.91303023],15100.028125,[9422.97540449],[21437.26904522],[-3502.23707548],[1.19527353],[0.83662858],[0.83662858],[0.83662858],[1.18774825]
932,8801126.637969065,[10759.05721578],[0.72372156],[12633.11509477],7.682386873975437e-10,[0.83662858],[0.00013557],[17455.76716988],[-2466.91303023],15100.028125,[9171.17209414],[20864.41651416],[-3408.64934428],[1.19527353],[0.83662858],[0.83662858],[0.83662858],[1.15600892]
942,8779094.267885938,[11165.81384957],[0.69735729],[12633.11509477],7.701666902821733e-10,[0.83662858],[0.00014105],[18115.69944386],[-2466.91303023],15100.028125,[9517.89718484],[21653.2160955],[-3537.51665164],[1.19527353],[0.83662858],[0.83662858],[0.83662858],[1.19971296]
990,8549469.17155962,[10958.30505799],[0.7105626],[12633.11509477],7.90852138336851e-10,[0.83662858],[0.00014215],[17779.03192003],[-2466.91303023],15100.028125,[9341.01376462],[21250.8063145],[-3471.77439447],[1.19527353],[0.83662858],[0.83662858],[0.83662858],[1.17741714]
970,8444800.95453778,[10899.31862859],[0.71440812],[12633.11509477],8.006542738393045e-10,[0.83662858],[0.00014313],[17683.33084167],[-2466.91303023],15100.028125,[9290.73290038],[21136.41734836],[-3453.08650669],[1.19527353],[0.83662858],[0.83662858],[0.83662858],[1.17107933]
963,8441553.412757564,[11089.60915777],[0.70214934],[12633.11509477],8.009622927641001e-10,[0.83662858],[0.00014569],[17992.06302008],[-2466.91303023],15100.028125,[9452.93923091],[21505.43675031],[-3513.37373023],[1.19527353],[0.83662858],[0.83662858],[0.83662858],[1.19152513]
974,8279892.886271241,[10710.5010492],[0.72700256],[12633.11509477],8.166006576224948e-10,[0.83662858],[0.00014346],[17376.98841432],[-2466.91303023],15100.028125,[9129.78213301],[20770.2543526],[-3393.26593828],[1.19527353],[0.83662858],[0.83662858],[0.83662858],[1.15079179]
954,7994163.435037824,[10320.31737081],[0.75448859],[12633.11509477],8.457878089329956e-10,[0.83662858],[0.00014317],[16743.94452331],[-2466.91303023],15100.028125,[8797.18406321],[20013.59374381],[-3269.64922049],[1.19527353],[0.83662858],[0.83662858],[0.83662858],[1.10886843]
988,7277506.714173463,[10258.40377396],[0.75904223],[12633.11509477],9.290772570232975e-10,[0.83662858],[0.00015633],[16643.49433427],[-2466.91303023],15100.028125,[8744.40804016],[19893.52829136],[-3250.03395709],[1.19527353],[0.83662858],[0.83662858],[0.83662858],[1.10221611]
986,7245472.121349102,[10790.76232194],[0.72159514],[12633.11509477],9.33185010270104e-10,[0.83662858],[0.00016516],[17507.20633783],[-2466.91303023],15100.028125,[9198.19797373],[20925.90039023],[-3418.6940524],[1.19527353],[0.83662858],[0.83662858],[0.83662858],[1.15941548]
968,7243772.269884324,[10803.44728303],[0.72074788],[12633.11509477],9.334039950542074e-10,[0.83662858],[0.0001654],[17527.78674028],[-2466.91303023],15100.028125,[9209.01081345],[20950.49960059],[-3422.71286031],[1.19527353],[0.83662858],[0.83662858],[0.83662858],[1.16077842]
977,7151263.17753211,[10681.59348909],[0.72897005],[12633.11509477],9.454785550636453e-10,[0.83662858],[0.00016565],[17330.08805598],[-2466.91303023],15100.028125,[9105.14092112],[20714.19559554],[-3384.10753956],[1.19527353],[0.83662858],[0.83662858],[0.83662858],[1.14768581]
984,7047968.99111789,[10555.27435542],[0.73769392],[12633.11509477],9.593353751263426e-10,[0.83662858],[0.00016609],[17125.14469132],[-2466.91303023],15100.028125,[8997.46471024],[20469.23221579],[-3344.08752447],[1.19527353],[0.83662858],[0.83662858],[0.83662858],[1.13411343]
991,6992291.70570298,[10769.32619101],[0.72303147],[12633.11509477],9.669742425731863e-10,[0.83662858],[0.0001708],[17472.42781562],[-2466.91303023],15100.028125,[9179.92551344],[20884.33054308],[-3411.90272746],[1.19527353],[0.83662858],[0.83662858],[0.83662858],[1.15711227]
926,6984006.146108068,[10902.36537819],[0.71420847],[12633.11509477],9.68121424082763e-10,[0.83662858],[0.00017312],[17688.27396546],[-2466.91303023],15100.028125,[9293.3299927],[21142.3257334],[-3454.05176794],[1.19527353],[0.83662858],[0.83662858],[0.83662858],[1.17140669]
944,6674250.848233055,[10656.91645654],[0.73065804],[12633.11509477],1.013052420372081e-09,[0.83662858],[0.00017708],[17290.05141282],[-2466.91303023],15100.028125,[9084.10587058],[20666.34085558],[-3376.28944276],[1.19527353],[0.83662858],[0.83662858],[0.83662858],[1.14503438]
973,6627940.338112722,[10839.21855753],[0.71836929],[12633.11509477],1.0201307843845472e-09,[0.83662858],[0.00018136],[17585.82296283],[-2466.91303023],15100.028125,[9239.50275227],[21019.86876142],[-3434.04579859],[1.19527353],[0.83662858],[0.83662858],[0.83662858],[1.16462187]
978,6621222.269121093,[10739.54937436],[0.72503617],[12633.11509477],1.0211658363298567e-09,[0.83662858],[0.00017988],[17424.11715344],[-2466.91303023],15100.028125,[9154.54333502],[20826.58608716],[-3402.46893372],[1.19527353],[0.83662858],[0.83662858],[0.83662858],[1.15391289]
923,6412686.344788051,[10162.77498136],[0.7661846],[12633.11509477],1.0543734111474596e-09,[0.83662858],[0.00017575],[16488.34375695],[-2466.91303023],15100.028125,[8662.89270879],[19708.0809125],[-3219.73715555],[1.19527353],[0.83662858],[0.83662858],[0.83662858],[1.09194126]
989,6408443.306135494,[11118.33046778],[0.70033552],[12633.11509477],1.0550715131550789e-09,[0.83662858],[0.00019241],[18038.66120153],[-2466.91303023],15100.028125,[9477.42168058],[21561.13432333],[-3522.4731218],[1.19527353],[0.83662858],[0.83662858],[0.83662858],[1.1946111]
919,6354227.205441749,[10887.69282306],[0.71517096],[12633.11509477],1.0640736878565642e-09,[0.83662858],[0.00019002],[17664.46884005],[-2466.91303023],15100.028125,[9280.82289979],[21113.87209702],[-3449.40325697],[1.19527353],[0.83662858],[0.83662858],[0.83662858],[1.16983019]
985,6100041.547467213,[10418.76576635],[0.74735932],[12633.11509477],1.1084131023304729e-09,[0.83662858],[0.00018942],[16903.66969591],[-2466.91303023],15100.028125,[8881.10286388],[20204.50901533],[-3300.83931942],[1.19527353],[0.83662858],[0.83662858],[0.83662858],[1.11944624]
928,5917687.135079018,[10676.99413165],[0.72928407],[12633.11509477],1.1425690175292832e-09,[0.83662858],[0.00020009],[17322.62594187],[-2466.91303023],15100.028125,[9101.22036397],[20705.27632804],[-3382.65038617],[1.19527353],[0.83662858],[0.83662858],[0.83662858],[1.14719163]
957,5819005.475983768,[10013.8304613],[0.77758074],[12633.11509477],1.1619452849595106e-09,[0.83662858],[0.00019085],[16246.69239186],[-2466.91303023],15100.028125,[8535.93029949],[19419.24143134],[-3172.54903949],[1.19527353],[0.83662858],[0.83662858],[0.83662858],[1.07593789]
958,5504732.94568717,[10647.83439829],[0.73128125],[12633.11509477],1.2282822877484519e-09,[0.83662858],[0.00021451],[17275.31645127],[-2466.91303023],15100.028125,[9076.36419605],[20648.72854602],[-3373.41209475],[1.19527353],[0.83662858],[0.83662858],[0.83662858],[1.14405856]
951,5337772.163595054,[11015.00712277],[0.70690483],[12633.11509477],1.2667018690095325e-09,[0.83662858],[0.00022885],[17871.02678733],[-2466.91303023],15100.028125,[9389.34740424],[21360.76534465],[-3489.73855732],[1.19527353],[0.83662858],[0.83662858],[0.83662858],[1.1835095]
983,5285364.7400503885,[10646.67656673],[0.73136078],[12633.11509477],1.2792619447316424e-09,[0.83662858],[0.00022339],[17273.437956],[-2466.91303023],15100.028125,[9075.3772441],[20646.48323034],[-3373.04527434],[1.19527353],[0.83662858],[0.83662858],[0.83662858],[1.14393416]
966,5268978.522661216,[10248.04032326],[0.75980982],[12633.11509477],1.2832403751302316e-09,[0.83662858],[0.0002157],[16626.68040914],[-2466.91303023],15100.028125,[8735.57408864],[19873.43105165],[-3246.75064251],[1.19527353],[0.83662858],[0.83662858],[0.83662858],[1.10110261]
