State code,portion_of_income_spent_on_electricity,income,npv_per_install,npv_right_size,right_sized_multiplier,ov_per_install,needed_phi_per_install,energy_consumption_kwh,prop_adopted_status_quo,prop_adopted_per_year_average,median_npv,median_elec_consumption,median_energy_ratio,cutoff_energy_ratio,elec_cost,payback_period_status_quo,payback_period_first_year_cutoff,payback_period_new_year_added
AK,0.0002662800383162518,9250295.678119907,[1333.08664216],2923.2495487327906,1.0882837191511647,[2.3864352],[0.45602903],10663.069643317865,[0.01348167],0.0021455783347271145,16433.114767162195,9030.67188753993,0.5384615138024272,[0.45602903],[0.231],3.551157520032231,3.345357425950384,3.630326656434616
AL,0.00026883777100943334,9873624.988694724,[-157.74202097],-409.94957866309414,0.9895535280024464,[2.57171202],[0.38478396],18627.391815745483,[0.00027619],5.73891797005863e-05,14942.286104029916,13109.136631692749,0.5467577216364764,[0.38478396],[0.1425],5.454699757016953,5.454699757016953,5.454699757016953
AR,0.00033938261148015356,6720556.2773773335,[-2576.92713025],-6866.2283313416265,0.8293428920188767,[2.20978606],[0.37530461],18928.13228228762,[0.02488356],0.0038303950496468625,12523.100994753877,12936.473180270097,0.5491307531529098,[0.37530461],[0.1205],7.096593520135128,4.97479078233383,7.228692291329679
AZ,0.03413031318986275,28892.333350026372,[3434.61045429],2863.7669239685474,1.2476756420835164,[1.04030786],[1.1993331],7573.766405701357,[0.11634111],0.011619229900753755,17301.983222147628,8886.05373785261,1.0222162719067494,[1.1993331],[0.1302],9.000774798849166,4.3792418285048775,9.274005336867065
CA,0.2571656039196694,6735.0926526125595,[17399.50079382],13565.923231486697,2.1522826745608623,[1.67807697],[1.28258877],6702.918612476923,[0.11624364],0.012278268029997003,32499.52891881925,9059.468597250938,0.9489616381946973,[1.28258877],[0.2584],4.0011735881520725,1.9744072467214933,4.449946299881921
CO,0.0002826353922321886,5467665.735121311,[3223.19788694],4263.753445253744,1.2324303197795992,[1.63029985],[0.75595316],10890.457009446862,[0.05340233],0.007980835044490075,17090.57065479309,9016.364576746355,0.9130814655076097,[0.75595316],[0.1419],4.833323282558082,2.8704320902586966,5.015305599895661
CT,0.0004105685508369632,6101667.7054460775,[8520.47195119],13220.320159809842,1.564268614644742,[2.42711108],[0.64449815],10179.410270271006,[0.06569148],0.00920677714231181,23620.500076190387,8252.007189803286,0.7950321645430509,[0.64449815],[0.2461],3.4899520249765965,2.3598650627980606,3.699538277537649
DE,0.0004774442393043161,5241436.680109302,[4560.23085483],12257.672128799291,1.503335801438642,[4.04089134],[0.37203074],18253.05432966102,[0.04526842],0.0047872246462576625,13620.247729825745,13672.203757687177,0.49667906233275594,[0.37203074],[0.1371],4.958690589752048,2.828174898498264,5.196240933420109
FL,0.0003635848875291179,6995542.086596496,[498.17476863],1188.4133919036758,1.0329916450820886,[2.46423782],[0.41919316],18298.369660146745,[0.03234272],0.004639543469136109,15598.20289362956,13502.702578871675,0.5680752845304885,[0.41919316],[0.139],4.769300231758388,3.545688533926431,4.926833484607163
GA,0.0002589423337554126,9712535.750028862,[-572.84059226],-1450.8453017246284,0.9620636075962792,[2.43663854],[0.3948323],18224.541114459054,[0.00401523],0.000675391024655116,14527.187532742777,13549.565954265092,0.5310603726838529,[0.3948323],[0.138],3.3956254243052357,3.305308354786772,3.3956254243052357
HI,0.08653066784639886,38844.47299082774,[44113.15100792],40889.89152429075,5.936150658461198,[5.50240803],[1.07882778],7811.383197856674,[0.19660369],0.015189760840393725,53049.90234720487,9112.669624331145,0.9247715063266073,[1.07882778],[0.4303],2.046155347719596,0.7358748209467485,2.078396670905338
IA,0.00027581931273213783,6534391.673698762,[-2181.66484618],-4452.906258245748,0.8555191534666238,[1.74616491],[0.48994179],13705.790270434954,[0.02277179],0.003182756645849342,12918.363278822208,9975.37537938266,0.6731615784701988,[0.48994179],[0.1315],7.558496324786503,5.239950323195458,7.70914084006564
ID,0.08387001564816396,7983.35792005617,[-3778.88099233],-3269.627536074042,0.7497434467641928,[0.64870575],[1.15575274],6456.744008486063,[0.03411495],0.004550461691645398,11321.147132673752,8862.346850502588,0.8420342620967382,[1.15575274],[0.1037],9.482321864184263,5.782238632353132,9.920604399485157
IL,0.0002454170221065511,8791057.724788193,[-188.95644818],-399.9740819229228,0.9874863512428191,[2.09026445],[0.47242173],13785.784076577069,[0.0158391],0.0029248832829480895,14911.071676820198,10082.357816159209,0.6459504906362613,[0.47242173],[0.1565],3.8996682977725308,3.497424615709341,3.9294846019208354
IN,0.00021835209857161964,9082470.453499846,[-1200.11092396],-2504.9768518055535,0.9205226034001087,[1.92139557],[0.47909062],13592.710649324341,[0.00733604],0.0008363979726477079,13899.917201039862,9941.45247702512,0.6550492018031864,[0.47909062],[0.1459],5.5426535723361425,5.064345892376928,5.5426535723361425
KS,0.00020223513494520566,9389119.258142108,[-108.13955578],-200.37469648973274,0.9928384533537122,[1.83965712],[0.53968669],13572.62187410292,[0.00935891],0.0014884016716128642,14991.888569222556,9914.82296933113,0.7387891174115279,[0.53968669],[0.1399],5.2356920597149275,5.003551294031812,5.256503199825557
KY,0.00026967722232936245,8803076.40264515,[-2515.79111963],-6943.198884706369,0.8333916269028067,[2.30003348],[0.36233891],18388.762139570103,[0.0084403],0.0012007571988018673,12584.237005371891,13198.412742967863,0.5048307082417247,[0.36233891],[0.1291],5.613162966889669,5.305910205533936,5.642671173680282
LA,0.0003216695467941874,7238260.120845795,[-1466.8639693],-3664.9705383113687,0.9028568717118276,[2.25579461],[0.40023895],18007.175967911113,[0.01851856],0.0012870076536143809,13633.164155698109,13012.33369858431,0.5538726434060881,[0.40023895],[0.1293],6.725344011335146,4.880383192596966,6.82632725430278
MA,0.1765537021886715,8986.997276361317,[9477.2528284],8951.034864220941,1.6276314686265738,[1.53725835],[1.05878851],6109.694419334224,[0.07131469],0.0074531031959709166,24577.280953396308,8354.354710846095,0.7743116908638936,[1.05878851],[0.2597],3.0542839256442718,2.083015729925652,3.2523250721183667
MD,0.0005229208891215517,5132035.602206445,[611.56341355],1658.3021774257286,1.0441008851341627,[2.83116147],[0.36878889],18559.11908789248,[0.07469149],0.007452818289841411,14478.936181405024,14134.603954313925,0.48422982954298094,[0.36878889],[0.1446],5.756575052362128,3.1708407204138482,6.201023741084957
ME,0.00036647468651137443,6524793.420917208,[6309.77625845],10309.680009402731,1.4178651990721516,[2.31668064],[0.61202445],10655.84502443009,[0.0396724],0.0066768369570160534,21409.804383448212,8046.240293275674,0.8105199016978073,[0.61202445],[0.2244],4.789303606405085,3.331479218531521,5.22302603271343
